"","1","2","3","4","5","6"
"intelligence",0.000458147853944546,0.000490396813341942,0,0,0,0
"interfaces",0.000229073926972273,0.000245198406670971,0,0,0,0
"international",0.000458147853944546,0.000490396813341942,0,0,0,0
"investment",0.000229073926972273,0.000245198406670971,0,0,0,0
"ipcc",0.000229073926972273,0.000245198406670971,0,0,0,0
"ired",0.000229073926972273,0.000245198406670971,0,0,0,0
"isabel",0.000229073926972273,0.000245198406670971,0,0,0,0
"jamology",0.000373603483266535,0,0,0,0,0
"joint",0.000229073926972273,0.000245198406670971,0,0,0,0
"jonas",0.000229073926972273,0.000245198406670971,0,0,0,0
"kewa",0.000229073926972273,0.000245198406670971,0,0,0,0
"lan",0.000229073926972273,0.000245198406670971,0,0,0,0
"leaf",0.000229073926972273,0.000245198406670971,0,0,0,0
"lean",0.000229073926972273,0.000245198406670971,0,0,0,0
"leslie",0.000144529556294262,0.00015470297029703,0,0.00035778175313059,0,0
"life",0.000229073926972273,0.000245198406670971,0,0,0,0
"limited",0.000229073926972273,0.000245198406670971,0,0,0,0
"lin",0.000229073926972273,0.000245198406670971,0,0,0,0
"line",0.000229073926972273,0.000245198406670971,0,0,0,0
"lmc",0.000229073926972273,0.000245198406670971,0,0,0,0
"lodge",0.000458147853944546,0.000490396813341942,0,0,0,0
"lon",0.000722308673340379,0.000773151873583243,0.00116747537971619,0.000282326732558634,0.000174831775230172,0
"lue",0.000458147853944546,0.000490396813341942,0,0,0,0
"lzheimers",0.000229073926972273,0.000245198406670971,0,0,0,0
"malicious",0.000229073926972273,0.000245198406670971,0,0,0,0
"man",0.000229073926972273,0.000245198406670971,0,0,0,0
"marro",0.000229073926972273,0.000245198406670971,0,0,0,0
"martin",0.000458147853944546,0.000245198406670971,0,0,0,0
"martinez",0.000229073926972273,0.000245198406670971,0,0,0,0
"max",0.000229073926972273,0.000245198406670971,0,0,0,0
"mazon",0.000229073926972273,0.000245198406670971,0,0,0,0
"mber",0.000229073926972273,0.000245198406670971,0,0,0,0
"mero",0.000229073926972273,0.000245198406670971,0,0,0,0
"mesulam",0.000229073926972273,0.000245198406670971,0,0,0,0
"michael",0.000458147853944546,0.000490396813341942,0,0,0,0
"mills",0.000229073926972273,0.000245198406670971,0,0,0,0
"minerals",0.000229073926972273,0.000245198406670971,0,0,0,0
"mit",0.000229073926972273,0.000245198406670971,0,0,0,0
"mnesty",0.000229073926972273,0.000245198406670971,0,0,0,0
"mobility",0.000229073926972273,0.000245198406670971,0,0,0,0
"model",0.00049421119754868,0.000528998650346429,0.0012335588917756,0.00089403465310234,0.000815881617740803,0
"motors",8.45443706780107e-05,9.04954363739412e-05,4.89877314061767e-05,0,0.000583212862134752,0
"motwani",0.000229073926972273,0.000245198406670971,0,0,0,0
"mpaypal",0.000229073926972273,0.000245198406670971,0,0,0,0
"mspace",0.000229073926972273,0.000245198406670971,0,0,0,0
"murray",0.000229073926972273,0.000245198406670971,0,0,0,0
"murton",0.000458147853944546,0.000490396813341942,0,0,0,0
"musk",0.000798341165270945,0.000813844077456045,0.00163005996413204,0.000846980197675901,0.000961574763765946,0
"nasa",8.45443706780107e-05,9.04954363739412e-05,0.000195950925624707,0,0.000129602858252167,0
"natural",0.000229073926972273,0.000245198406670971,0,0,0,0
"neuralink",0.000458147853944546,0.000490396813341942,0,0,0,0
"new",0.000229073926972273,0.000245198406670971,0,0,0,0
"nixon",0.000229073926972273,0.000245198406670971,0,0,0,0
"nnemiek",0.000229073926972273,0.000245198406670971,0,0,0,0
"nternational",0.000289059112588524,0.000309405940594059,8.37450799765514e-05,0,0,0
"oakeshott",0.000229073926972273,0.000245198406670971,0,0,0,0
"oam",0.000144529556294262,0.00015470297029703,0,0.000178890876565295,0,0
"obert",0.000229073926972273,0.000245198406670971,0,0,0,0
"oceanography",0.000229073926972273,0.000245198406670971,0,0,0,0
"ockheed",0.000229073926972273,0.000245198406670971,0,0,0,0
"oddity",0.000144529556294262,0.00015470297029703,8.37450799765514e-05,0,0,0
"odel",0.000144529556294262,0.00015470297029703,0.000334980319906205,0,0,0
"odular",0.000229073926972273,0.000245198406670971,0,0,0,0
"ogue",0.000229073926972273,0.000245198406670971,0,0,0,0
"ohn",0.000458147853944546,0.000490396813341942,0,0,0,0
"olkswagen",0.000229073926972273,0.000245198406670971,0,0,0,0
"olphinfriendly",0.000229073926972273,0.000245198406670971,0,0,0,0
"olwara",0.000458147853944546,0.000490396813341942,0,0,0,0
"onathan",0.000144529556294262,0.00015470297029703,8.37450799765514e-05,0,0,0
"one",0.000144529556294262,0.00015470297029703,0.000334980319906205,0,0,0
"ony",0.000229073926972273,0.000245198406670971,0,0,0,0
"origin",0.000229073926972273,0.000245198406670971,0,0,0,0
"ory",0.000229073926972273,0.000245198406670971,0,0,0,0
"oseph",0.000229073926972273,0.000245198406670971,0,0,0,0
"oward",0.000229073926972273,0.000245198406670971,0,0,0,0
"pace",8.45443706780107e-05,9.04954363739412e-05,0.00029392638843706,0.000104644454511835,0,0
"pacex",0.000144529556294262,0.00015470297029703,0.000669960639812411,0,0,0
"pardo",0.000229073926972273,0.000245198406670971,0,0,0,0
